CDUORG;NOME;UF;MUNICIPIO;ENDERECO;BAIRRO;CEP
019904006;AGÊNCIA DE ATENDIMENTO DE PETROPOLIS;RJ;PETRÓPOLIS;RUA BARAO DE TEFE, 120 4O. ANDAR;;25620010
019908000;GERÊNCIA REGIONAL DO TRABALHO EM PETRÓPOLIS;RJ;PETRÓPOLIS;RUA SÃO PEDRO DE ALCÂNTARA 63;CENTRO;25685300
019908001;AGÊNCIA REGIONAL DO TRABALHO EM SAPUCAIA;RJ;PETRÓPOLIS;RUA QUINZE DE NOVEMBRO 42 - SALA 02;;25880000
019909008;AGÊNCIA REGIONAL DO TRABALHO EM PIRAÍ;RJ;PIRAÍ;.;;99999999
019903007;AGÊNCIA DE ATENDIMENTO DE PORCIUNCULA;RJ;PORCIÚNCULA;PRAÇA SANTO ANTONIO, S/N;;28390000
019911003;AGÊNCIA REGIONAL DO TRABALHO EM PORCIÚNCULA;RJ;PORCIÚNCULA;.;;99999999
019907009;AGÊNCIA REGIONAL DO TRABALHO EM QUEIMADOS;RJ;QUEIMADOS;RUA OTILIA, 1.504 - SALAS 101/102;;26383290
019908005;AGÊNCIA DE ATENDIMENTO DE QUISSAMA;RJ;QUISSAMÃ;PREFEITURA MUNICIPAL DE QUISSAMA;;28735000
019909003;AGÊNCIA REGIONAL DO TRABALHO EM RESENDE;RJ;RESENDE;...;;99999999
019905004;AGÊNCIA REGIONAL DO TRABALHO EM RIO BONITO;RJ;RIO BONITO;RUA DESEMBARGADOR ITABAIANA DE OLIVEIRA, Nº 95;;28800000
019908006;AGÊNCIA DE ATENDIMENTO DE RIO BONITO;RJ;RIO BONITO;RUA JOAO DO CARMO, 200;;28800000
112000093;AGÊNCIA REGIONAL DO TRABALHO EM RIO DAS OSTRAS;RJ;RIO DAS OSTRAS;AV. DAS CASUARINAS, 595;CENTRO DA CIDADANIA;28899000
