codigo;nr;gradacao
117315-4;NR-17;I1
117316-2;NR-17;I4
117317-0;NR-17;I3
117318-9;NR-17;I4
117319-7;NR-17;I4
117320-0;NR-17;I3
117321-9;NR-17;I3
117322-7;NR-17;I3
119268-0;NR-19;I4
119269-8;NR-19;I4
119270-1;NR-19;I4
119271-0;NR-19;I3
119272-8;NR-19;I4
119273-6;NR-19;I4
119274-4;NR-19;I4
119275-2;NR-19;I4
119276-0;NR-19;I4
119277-9;NR-19;I4
119278-7;NR-19;I4
119279-5;NR-19;I4
119280-9;NR-19;I4
119281-7;NR-19;I4
119282-5;NR-19;I4
119283-3;NR-19;I4
119284-1;NR-19;I4
119285-0;NR-19;I4
119286-8;NR-19;I4
119287-6;NR-19;I4
119288-4;NR-19;I4
119289-2;NR-19;I4
119290-6;NR-19;I4
119291-4;NR-19;I4
119292-2;NR-19;I4
119293-0;NR-19;I4
119294-9;NR-19;I4
119295-7;NR-19;I4
119296-5;NR-19;I4
119297-3;NR-19;I4
119298-1;NR-19;I4
119299-0;NR-19;I4
119300-7;NR-19;I3
119301-5;NR-19;I4
119302-3;NR-19;I4
119303-1;NR-19;I3
119304-0;NR-19;I4
119305-8;NR-19;I4
119306-6;NR-19;I4
119307-4;NR-19;I4
119308-2;NR-19;I2
119309-0;NR-19;I3
119310-4;NR-19;I3
119311-2;NR-19;I3
119312-0;NR-19;I2
119313-9;NR-19;I2
119314-7;NR-19;I3
119315-5;NR-19;I3
119316-3;NR-19;I3
119317-1;NR-19;I3
119319-8;NR-19;I1
119320-1;NR-19;I4
119321-0;NR-19;I2
119322-8;NR-19;I2
119323-6;NR-19;I2
119324-4;NR-19;I4
119325-2;NR-19;I3
119326-0;NR-19;I3
119327-9;NR-19;I4
119328-7;NR-19;I4
119329-5;NR-19;I4
119330-9;NR-19;I4
119331-7;NR-19;I4
119332-5;NR-19;I4
119333-3;NR-19;I3
119334-1;NR-19;I3
119335-0;NR-19;I3
119336-8;NR-19;I4
119337-6;NR-19;I4
119338-4;NR-19;I4
119339-2;NR-19;I4
119340-6;NR-19;I3
119341-4;NR-19;I4
119342-2;NR-19;I3
119343-0;NR-19;I3
119344-9;NR-19;I4
119345-7;NR-19;I4
119346-5;NR-19;I4
119347-3;NR-19;I4
119348-1;NR-19;I3
119349-0;NR-19;I4
119350-3;NR-19;I4
119351-1;NR-19;I2
119352-0;NR-19;I2
119353-8;NR-19;I4
119354-6;NR-19;I4
119355-4;NR-19;I3
119356-2;NR-19;I3
119357-0;NR-19;I3
119358-9;NR-19;I3
119359-7;NR-19;I3
119360-0;NR-19;I3
119361-9;NR-19;I4
119362-7;NR-19;I4
119363-5;NR-19;I4
119364-3;NR-19;I4
119365-1;NR-19;I4
119366-0;NR-19;I4
119367-8;NR-19;I4
119368-6;NR-19;I4
119369-4;NR-19;I3
119370-8;NR-19;I4
119371-6;NR-19;I4
119372-4;NR-19;I4
119373-2;NR-19;I4
119374-0;NR-19;I4
119375-9;NR-19;I4
119376-7;NR-19;I4
121004-1;NR-21;I2
121032-7;NR-21;I3
121033-5;NR-21;I3
121034-3;NR-21;I3
121035-1;NR-21;I2
121037-8;NR-21;I3
121038-6;NR-21;I2
121042-4;NR-21;I3
121046-7;NR-21;I3
121047-5;NR-21;I2
123103-0;NR-23;I4
123104-9;NR-23;I3
123105-7;NR-23;I4
123106-5;NR-23;I4
123107-3;NR-23;I4
124250-4;NR-24;I2
124251-2;NR-24;I2
124252-0;NR-24;I2
124253-9;NR-24;I2
124254-7;NR-24;I2
124255-5;NR-24;I2
124256-3;NR-24;I2
124257-1;NR-24;I2
124258-0;NR-24;I2
124259-8;NR-24;I2
